name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
APANADO POLLO PF 66X100GR,EEP08,3787,,0,1,5,false,6600,congelados
HAMB VACUNO RDA 42X100GR,9G001,5727,,0,1,5,false,4200,congelados
HAMB PERFECT TASTE RDA 42X100GR,EHR16,4473,,0,1,5,false,4200,congelados
HAMB VAC MAMUT RDA 27X185GR,EHR05,4862,,0,1,5,false,4995,congelados
SALCH SURENA POLLO PF 24X250GR,V2000,3579,,0,1,5,false,6000,cecinas
MORT JAMONADA PF 12X150GR,MW000,4272,,0,1,5,false,1800,cecinas
CHORIZO PARRILLERO PF 9X250GR,CLP08,4258,,0,1,5,false,2250,cecinas
HAMBURGUESA PF 42X90GR,EHP13,3304,,0,1,5,false,3780,congelados
HAMBURGUESA POLLO PF 42X90GR,EHP12,3518,,0,1,5,false,3780,congelados
PEPSI PET 3000X6 TR,1756,7150,,0,1,5,false,18000,bebidas
PEPSI ZERO PET2000X6 TR,870690,5384,,0,1,5,false,12000,bebidas
PAP 6PF PET1250,871543,2763,,0,1,5,false,7500,bebidas
PEPSI 6PF PET1250,871547,2763,,0,1,5,false,7500,bebidas
FRUGO PIÑA PET2000CCX6,870188,3694,,0,1,5,false,12000,bebidas
COCA COLA X24 VIDRIO 237CC,0166,12710,,0,1,5,false,5688,bebidas
COCA COLA X05 VIDRIO 1000CC,0262,2919,,0,2,5,false,5000,bebidas
COCA COLA X04 REF 2000CC,0138,3583,,0,2,5,false,8000,bebidas
COCA COLA SIN AZUCAR X04 REF 2000CC,0395,3805,,0,2,5,false,8000,bebidas
COCA COLA X06 REF 3000CC,0191,7006,,0,1,5,false,18000,bebidas
MONSTER ENERGY X06 473CC,1963,4701,,0,2,5,false,2838,bebidas
VITAL CON GAS X12 PET600,2218,6051,,0,1,5,false,7200,bebidas
POWERADE FROZEN BLAST X06 PET850,4643,4734,,0,1,5,false,5100,bebidas
POWERADE FROZEN BLAST X06 PET11,4649,6261,,0,1,5,false,6600,bebidas
COCA COLA X06 PET1500CC,0136,6843,,0,1,5,false,9000,bebidas
COCA COLA SIN AZUCAR X06 PET1500CC,0377,7267,,0,1,5,false,9000,bebidas
COCA COLA X06 LATA 350CC,0161,3489,,0,1,5,false,2100,bebidas
DORITOS QUESO 54G,300065875,647,,0,5,5,false,54,snacks
MOMS LISA 180G,300066163,985,,0,1,5,false,180,snacks
CHEETOS PALI 250GX12,300064336,1400,,0,1,5,false,3000,snacks
DETODITO 275GX11,300064405,1962,,0,2,5,false,3025,snacks
LECHE CONDENSADA NESTLE 48X397GR,1160,1572,,0,2,5,false,19056,alimentos
CREMA LECHE NESTLE 48X157GR,1330,972,,0,4,5,false,7536,alimentos
NESCAFE DOBLE CHOCA MOKA 6(8X23G),36540,2393,,0,1,5,false,1104,cafeteria
TRITON REGULAR VAINILLA 30X116G,36760,623,,0,4,5,false,3480,galletas
GALLETAS MCKAY COCO 30X120GR,3990,685,,0,3,5,false,3600,galletas
MAGGI PURE PAPAS 20X93GR,67280,944,,0,2,5,false,1860,alimentos
MAGGI CALDO GALLINA 28(10X7G),77280,709,,0,1,5,false,1960,alimentos
KUKY CLASICA 30X120GR,81160,882,,0,3,5,false,3600,galletas
MCKAY SODA CLASICA 20X180GR,86640,811,,0,4,5,false,3600,galletas
MCKAY GALLETA VINO 28X155G,83840,644,,0,5,5,false,4340,galletas
MCKAY MANTEQUILLA 24X140GR,83950,685,,0,5,5,false,3360,galletas
MCKAY AGUA FAMILIAR 20X180G,84820,780,,0,3,5,false,3600,galletas
SUPER 8 OBLEA BANDA BARRA 4(24X29G),87910,5328,,0,1,5,false,2784,chocolates
KUKY MINI 42X40GR,88820,289,,0,6,5,false,1680,galletas
CREMA MAGGI POLLO 20X72GR,30200,506,,0,3,5,false,1440,alimentos
NESCAFE CAPPUCCINO 6(8X14G),36535,2393,,0,1,5,false,672,cafeteria
TRITON NARANJA 30X116GR,36780,623,,0,3,5,false,3480,galletas
TRITON CHOCOLATE 30X116GR,36800,623,,0,3,5,false,3480,galletas
NATURENS CARNE VERDURAS 4(6X205G),46694,1142,,0,6,5,false,4920,alimentos
NESCAFE TRADICION 77X17 8G,5320,10360,,0,1,5,false,1386,cafeteria
MAGGI PURE PAPAS 12X187GR,67290,1453,,0,3,5,false,2244,alimentos
TRENCITO BARRA 21X80GR,70019,1274,,0,6,5,false,1680,chocolates
TRENCITO BARRA 14X150GR,700221,2470,,0,6,5,false,2100,chocolates
CAPRI FRUTILLA FONDANT 6(24X30G),7410,7576,,0,1,5,false,4320,chocolates
CAPRI FRUTILLA 20X90GR,7611,1072,,0,3,5,false,1800,chocolates
MAGGI CREMA ESPARRAGOS 20X68GR,8100,506,,0,4,5,false,1360,alimentos
CAPRI TRUFA 20X90GR,8631,1072,,0,3,5,false,1800,chocolates
NUTELLA GO 52G,102310110,1382,,0,2,5,false,52,dulces
JUGO LIMON DJ250CC,201230470,457,,0,10,5,false,250,bebidas
TE CLUB ORIGINAL 20BLS,101710138,561,,0,10,5,false,40,te
TE CLUB CLASSIC SUST 40BLS,101710083,672,,0,10,5,false,80,te
TRUTRO MIX KING 830GR,1013221,2082,,0,10,5,false,8300,congelados
PATE TERNERA LA CRIANZA 125G,1040916,3992,,0,1,5,false,125,cecinas
HAMBURGUESA POLLO 50G KING 56UN,1100343,175,,0,56,5,false,2800,congelados
HAMBURGUESA TRADICIONAL 185G KING,1100372,666,,0,40,5,false,7400,congelados
NUGGETS POLLO KI 300G 18UN,1100593,600,,0,18,5,false,5400,congelados
HAMB SB 100G,1100741,410,,0,56,5,false,5600,congelados
SOPA MAGGI POLLO SEMOLA 20X68GR,30210,488,,0,6,5,false,1360,alimentos
MAGGI CAL GALLINA 36(48X11G),68200,4521,,0,1,5,false,19008,alimentos
MAGGI CAL CARNE TABLETA 36(48X10G),79490,4521,,0,1,5,false,17280,alimentos
KITKAT FINGERS MILK 4(24X41 5G),94480,566,,0,6,5,false,3984,chocolates
NIDO BUEN DIA SOFTPACK 12X130G,94550,938,,0,6,5,false,1560,lacteos
TRAPERO HUMEDO LAVANDA 12+1,1002,1588,,0,3,5,false,0,limpieza
TRAPERO HUMEDO PRIMAVERA 12+1,1003,1588,,0,3,5,false,0,limpieza
BOLSA BASURA MEDIANA 70X90 10UN,2002,756,,0,6,5,false,0,limpieza
BOLSA BASURA GRANDE 80X110 10UN,2003,1184,,0,6,5,false,0,limpieza
BOLSA BASURA PEQ 50X70 10UN,2001,441,,0,6,5,false,0,limpieza
COCA COLA SIN AZUCAR X06 REF3000CC,0398,7226,,0,1,5,false,18000,bebidas
COCA COLA X06 PET250CC,0125,1831,,0,1,5,false,1500,bebidas
BENEDICTINO MANZANA X06 PET20,2593,4993,,0,1,5,false,12000,bebidas
BENEDICTINO PERA X06 PET20,2594,4993,,0,1,5,false,12000,bebidas
CREMA LECHE NESTLE 48X236GR,1340,1318,,0,3,5,false,11328,alimentos
CEREAL TRIX 60X30G,25500,334,,0,4,5,false,1800,cereales
SOPA MAGGI POLLO MERKEN 16X16G,26620,278,,0,4,5,false,256,alimentos
BASE MAGGI CARNE CACEROLA 25X36G,30120,613,,0,3,5,false,900,alimentos
CREMA MAGGI CHOCLO 20X79GR,30150,496,,0,4,5,false,1580,alimentos
MAGGI SOPA CARACOLITOS 16X76G,301601,478,,0,4,5,false,1216,alimentos
SOPA MAGGI ESPARRAGOS 6X24X14G,31730,278,,0,4,5,false,2016,alimentos
MAGGI CREMA MARISCOS 20X45G,5910,461,,0,4,5,false,900,alimentos
MAGGI CREMA TOMATES 20X45G,5920,496,,0,4,5,false,900,alimentos
MAGGI CONSOME POLLO 4(16X12G),6080,278,,0,4,5,false,768,alimentos
MINI GALLETA COCO 42X40G,7270,198,,0,5,5,false,1680,galletas
MINI GALLETA MANTEQUILLA 42X40G,7280,198,,0,5,5,false,1680,galletas
NESCAFE VAINILLA LATTE 6(8X18 5G),365901,2347,,0,1,5,false,888,cafeteria
MAGGI SOPA CARNE FIDEOS 20X60G,36620,478,,0,4,5,false,1200,alimentos
CHOCOLATE SAHNE NUSS 21X160G,38620,2864,,0,6,5,false,3360,chocolates
NESCAFE 3EN1 24(8X24G),50810,2842,,0,1,5,false,4608,cafeteria
SALSA TOMATE MAGGI TUCO CARNE 6(4X245G),52120,4704,,0,1,5,false,5880,alimentos
CEREAL ZUCOSOS 60X30G,58660,336,,0,4,5,false,1800,cereales
CHOCAPIC ORIGINAL 60X30G,61750,336,,0,4,5,false,1800,cereales
MILO ACTIVGO 6(20X28G),67690,374,,0,10,5,false,3360,cereales
MAGGI CONSOME FAMILIAR POLLO 20X50G,68360,478,,0,4,5,false,1000,alimentos
MANJAR NESTLE BOLSA 48X200G,69780,791,,0,8,5,false,9600,alimentos
SAHNE NUSS 15X250GR,70220,4393,,0,4,5,false,3750,chocolates
MAGGI SPPU POLLO FIDEO 4(16X16G),79680,278,,0,4,5,false,1024,alimentos
MAGGI SPPU COSTILLA FIDEO 4(16X16G),79690,278,,0,4,5,false,1024,alimentos
NESQUIK OPTISTAR CHOCOLATE 18X180G,81250,960,,0,2,5,false,3240,cereales
ARANDANOS ROJOS 40G,300026554,325,,0,4,5,false,40,snacks
CHIPS CHOCO 40G,300026555,325,,0,4,5,false,40,snacks
GALLETA ALMENDRA 40G,300026556,325,,0,4,5,false,40,snacks
PACK BARRA QKR 270G,300062610,2353,,0,1,5,false,270,snacks
SALCHICHA TRADICIONAL 250G,1040961,7800,,0,1,5,false,3000,cecinas
CHURRASCO VACUNO KING 90G 3UN,1100539,20500,,0,1,5,false,270,congelados
CROCANTE 90G KI 60UN,1100655,265,,0,60,5,false,5400,snacks
LUCHETTI SPAGHETTI 400G,1046201,580,,0,5,5,false,400,alimentos
LIVEAN NARANJA 10X8G,1048619,1310,,0,1,5,false,80,bebidas
LIVEAN PIÑA 10X7G,1048620,1310,,0,1,5,false,70,bebidas
LIVEAN FRUTILLA 10X7G,1048622,1310,,0,1,5,false,70,bebidas
LIVEAN MANGO 10X7G,1048625,1310,,0,1,5,false,70,bebidas
LIVEAN BERRIES 10X7G,1048626,1310,,0,1,5,false,70,bebidas
LIVEAN MELON TUNA 10X7G,1048627,1310,,0,1,5,false,70,bebidas
ZUKO NARANJA PLATANO 16X10X15G,1070026,1278,,0,1,5,false,2400,bebidas
ZUKO MANGO 16X10X15G,1070027,1278,,0,1,5,false,2400,bebidas
ZUKO MELON TUNA 16X10X15G,1070029,1278,,0,1,5,false,2400,bebidas
ZUKO HUESILLO 16X10X15G,1070031,1278,,0,1,5,false,2400,bebidas
ZUKO NARANJA 16X10X15G,1070032,1278,,0,1,5,false,2400,bebidas
ZUKO PIÑA 16X10X15G,1070033,1278,,0,1,5,false,2400,bebidas
ZUKO DURAZNO 16X10X15G,1070034,1278,,0,1,5,false,2400,bebidas
ZUKO FRUTILLA 16X10X15G,1070035,1278,,0,1,5,false,2400,bebidas
NECTAR ZUKO 4X200 NARANJA,1061583,1159,,0,1,5,false,800,bebidas
NECTAR ZUKO 4X200 DURAZNO,1061585,1159,,0,1,5,false,800,bebidas
NECTAR ZUKO 4X200 MANZANA,1061586,1159,,0,1,5,false,800,bebidas
LIVEAN NECTAR DURAZNO 6X200,1061613,1549,,0,1,5,false,1200,bebidas
LIVEAN NECTAR MANZANA 6X200,1061614,1549,,0,1,5,false,1200,bebidas
LIVEAN NECTAR PIÑA 6X200,1061615,1549,,0,1,5,false,1200,bebidas
LIVEAN NECTAR FRUTIFRUTIL 6X200,1061616,1549,,0,1,5,false,1200,bebidas
DURACELL AAA X12,2037244,7362,,0,1,5,false,0,varios
PROMO CLORINDA 1LTX15UN,1720301,13709,,0,1,5,false,15000,limpieza
PROMO CLORINDA CLORO TRAD 28X500,5001609,16620,,0,1,5,false,14000,limpieza
POETT ALEGRA 900CC,1080050,1282,,0,3,5,false,2700,limpieza
POETT CITRICA 900CC,1250451,1282,,0,3,5,false,2700,limpieza
POETT FRESCO 900ML,1080059,1282,,0,3,5,false,2700,limpieza
POETT LAVANDA 12X900,3005003,1282,,0,3,5,false,10800,limpieza
BIOFRES CAM HIELO 800GR,5004188,1057,,0,6,5,false,4800,limpieza
BIOFRES FLORIDO 800GR,5004189,1057,,0,6,5,false,4800,limpieza
BIOFRES BOSQUE NATIVO 400G,1207362,626,,0,10,5,false,4000,limpieza
BIOFRES CAM HIELO 12L,1860136,1681,,0,2,5,false,2400,limpieza
QUITAMANCHA CLOROX 10X30G,3001501,2230,,0,2,5,false,300,limpieza
PACK WYN INFALTABLES,5004402,14584,,0,1,5,false,0,limpieza
PAP ZERO PET2000CCX6 TR,870376,5937,,0,1,5,false,12000,bebidas
LIMON SODA 6PF PET1250,871545,2917,,0,1,5,false,7500,bebidas
PEPSI ZERO 6PF PET1250,871548,3097,,0,1,5,false,7500,bebidas
KEM 6PF PET1250,871549,2917,,0,1,5,false,7500,bebidas
FRUGO NARANJA PET2000CCX6,870113,3871,,0,1,5,false,12000,bebidas
FRUGO FRUTILLA PET2000CCX6,870263,3871,,0,1,5,false,12000,bebidas
SPRIM MANZANA 1X20X25GR,870980,2428,,0,1,5,false,500,bebidas
SPRIM DURAZNO 1X20X20GR,871416,2428,,0,1,5,false,400,bebidas
SPRIM MELON TUNA 1X20X20GR,871423,2428,,0,1,5,false,400,bebidas
SPRIM PAPAYA 1X20X20GR,871427,2428,,0,1,5,false,400,bebidas
