name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
LAYS TA 180G,300066164,1400,,0,1,5,false,180,alimentos
MOMS LISA 180G,300066163,985,,0,1,5,false,180,alimentos
DORITOS QUESO 240GX14,300064408,1681,,0,1,5,false,240,alimentos
DORI QUESO 100GX19,300064335,985,,0,1,5,false,100,alimentos
DETODITO 120GX22,300056613,985,,0,1,5,false,120,alimentos
COCA COLA X24 VIDRIO 237 CC,0166,9992,,0,1,5,false,237,bebidas
COCA COLA X05 VIDRIO 1000 CC,0262,2680,,0,2,5,false,1000,bebidas
MONSTER ENERGY X06 473 CC,1963,4823,,0,2,5,false,473,bebidas
ESPONJA ACERO MEDIANA CIEN X250,520200K,123,,0,10,5,false,250,limpieza
LAVALOZA VIRGINIA LIMON 200ML,1560026,519,,0,4,5,false,200,limpieza
SUAV. FUZOL CLASSIC 1L,4311507,1023,,0,2,5,false,1000,limpieza
SALSA DE SOYA LA PRIMER 1x250,0201506,546,,0,6,5,false,250,alimentos
SAL LOBOS FINA 10x1K,1202023,5240,,0,1,5,false,1000,alimentos
SH SEDAL COLAGENO/VIT C 340ML,1540608,1591,,0,2,5,false,340,higiene
DTE DOVE MEN-CARE SPORT 89G,1260520,1645,,0,24,5,false,89,higiene
OMO LIQ ULTRA POWER 400ML,1860074,615,,0,6,5,false,400,limpieza
PAN COMPLETO XL 6P 528G,501866,1294,,0,3,5,false,528,alimentos
PAN HAMBURGUESA SESAMO 8P 650G,502927,1748,,0,3,5,false,650,alimentos
TAKIS ORIGINAL CH 49G,964740,582,,0,4,5,false,49,alimentos
RAPIDITAS TORTILLA 8P 200G,445555,970,,0,4,5,false,200,alimentos
SOPROLE MARGARINA POTE 16x500G,000617-001,3540.50,,0,2,5,false,500,lacteos
SOPROLE PROTEIN+ SNACK CHOCOLATE 130G,002040-007,503.50,,0,4,5,false,130,lacteos
SOPROLE QUESO GOUDA LAM FLEXI 9x1KG,002611-001,6355.25,,0,4,5,false,1000,lacteos
